id_agresor,sexo_agre,edad_agre,r_fam_vic,conv_agre,r_nofiliar,zona_conf,armas
AGR_000535,M,30,,,,2,3
AGR_000536,M,22,17,2,,2,
AGR_000537,M,21,9,2,,2,
AGR_000538,M,18,,,,1,15
AGR_000539,M,43,3,2,,2,3
AGR_000540,M,39,17,2,,2,
AGR_000541,M,38,22,2,,2,3
AGR_000542,F,40,23,1,,2,3
AGR_000543,M,45,17,1,,2,15
AGR_000544,M,60,22,2,,2,3
AGR_000545,M,35,15,2,,2,3
AGR_000546,M,35,6,2,,2,8
AGR_000547,M,13,2,2,,2,15
AGR_000548,M,10,22,2,,2,
AGR_000549,M,90,,,,1,11
AGR_000550,M,24,13,1,,2,4
AGR_000551,M,21,,,9,2,
AGR_000552,M,50,22,2,,1,
AGR_000553,M,24,2,2,,2,3
AGR_000554,M,70,23,2,,2,
AGR_000555,M,31,2,2,,2,3
AGR_000556,M,15,17,2,,2,
AGR_000557,M,20,2,1,,2,
AGR_000558,M,90,,,,2,3
AGR_000559,M,28,2,1,,2,3
AGR_000560,F,40,2,1,,2,4
AGR_000561,M,40,23,2,,2,
AGR_000562,M,0,25,2,6,1,3
AGR_000563,,0,10,1,,2,
AGR_000564,M,0,25,1,8,2,3
AGR_000565,F,30,23,2,,2,4
AGR_000566,F,39,10,1,,2,15
AGR_000567,F,0,25,2,10,2,15
AGR_000568,M,2,22,2,,2,
AGR_000569,M,23,22,2,,2,1
AGR_000570,M,10,22,,,1,
AGR_000571,M,40,1,2,,2,10
AGR_000572,M,99,15,2,,2,
AGR_000573,M,25,3,2,,2,3
AGR_000574,M,35,6,2,,2,2
AGR_000575,M,18,23,2,,2,
AGR_000576,M,30,22,2,,2,2
AGR_000577,F,10,23,2,,2,
AGR_000578,M,35,3,2,,2,3
AGR_000579,F,13,2,1,,2,
AGR_000580,M,60,14,1,,2,
AGR_000581,M,27,9,1,,2,
AGR_000582,M,35,6,1,,2,3
AGR_000583,M,65,,,7,2,
AGR_000584,M,20,23,2,,2,3
AGR_000585,M,45,17,1,,2,
AGR_000586,M,38,9,2,,2,
AGR_000587,M,49,1,1,,2,15
AGR_000588,M,36,22,2,,2,
AGR_000589,M,50,22,2,,2,3
AGR_000590,M,32,22,2,,2,
AGR_000591,M,43,9,1,,2,
AGR_000592,M,20,2,2,,2,3
AGR_000593,M,26,7,2,,2,
AGR_000594,M,20,17,2,,2,
AGR_000595,M,69,1,1,,2,3
AGR_000596,F,15,13,1,,2,3
AGR_000597,F,21,22,2,,2,
AGR_000598,M,19,22,2,,2,15
AGR_000599,M,25,1,1,,2,3
AGR_000600,M,35,,,,2,11
AGR_000601,M,25,2,1,,1,15
AGR_000602,M,52,1,1,,2,3
AGR_000603,M,40,9,1,,2,3
AGR_000604,M,38,15,1,,2,
AGR_000605,M,35,20,2,,2,3
AGR_000606,M,45,9,2,,1,2
AGR_000607,M,28,13,1,,2,3
AGR_000608,M,0,25,2,2,1,
AGR_000609,F,0,25,2,2,2,3
AGR_000610,M,10,9,2,,2,
AGR_000611,M,19,3,2,,2,
AGR_000612,M,26,22,2,,2,3
AGR_000613,M,42,22,2,,2,3
AGR_000614,F,18,23,1,,1,1
AGR_000615,M,30,17,1,,2,3
AGR_000616,M,26,1,1,,2,4
AGR_000617,M,30,22,2,,2,13
AGR_000618,M,25,23,2,,2,15
AGR_000619,M,30,21,2,,2,3
AGR_000620,F,16,10,1,,2,3
AGR_000621,M,30,22,2,,2,4
AGR_000622,F,30,5,2,,2,3
AGR_000623,F,30,22,2,,2,
AGR_000624,M,10,23,2,,2,
AGR_000625,M,17,11,1,,2,15
AGR_000626,M,42,15,1,,2,15
AGR_000627,M,23,1,2,,2,1
AGR_000628,M,35,22,2,,2,4
AGR_000629,M,35,1,1,,1,1
AGR_000630,F,24,10,1,,2,
AGR_000631,F,22,10,1,,2,
AGR_000632,M,99,22,1,,2,
AGR_000633,F,12,10,1,,1,
AGR_000634,M,30,2,2,,2,3
AGR_000635,M,22,11,1,,2,15
AGR_000636,M,28,2,1,,2,1
AGR_000637,M,90,,,1,2,
AGR_000638,F,20,22,1,,2,
AGR_000639,M,26,2,1,,2,3
AGR_000640,F,24,10,1,,2,3
AGR_000641,M,17,23,2,,2,
AGR_000642,M,37,1,1,,2,4
AGR_000643,M,19,,,,2,
AGR_000644,M,55,1,1,,2,3
AGR_000645,F,0,22,2,,1,4
AGR_000646,M,0,9,1,,1,15
AGR_000647,M,0,22,2,,2,2
AGR_000648,F,0,25,2,4,2,4
AGR_000649,M,32,5,1,,2,3
AGR_000650,M,36,2,1,,2,2
AGR_000651,M,14,13,1,,2,
AGR_000652,M,55,9,2,,2,3
AGR_000653,M,74,14,1,,2,
AGR_000654,M,25,6,2,,2,
AGR_000655,M,10,22,2,,1,2
AGR_000656,M,37,2,1,,2,3
AGR_000657,M,25,6,1,,2,3
AGR_000658,M,28,7,2,,2,15
AGR_000659,F,31,19,2,,2,15
AGR_000660,M,33,22,2,,2,
AGR_000661,M,33,15,1,,2,
AGR_000662,M,45,17,2,,2,
AGR_000663,F,20,10,1,,2,
AGR_000664,M,40,5,2,,2,15
AGR_000665,M,40,21,2,,2,
AGR_000666,F,44,2,1,,2,4
AGR_000667,M,40,2,1,,2,15
AGR_000668,M,22,2,1,,2,15
AGR_000669,M,27,2,1,,1,3
AGR_000670,M,27,9,2,,2,3
AGR_000671,F,20,22,2,,2,13
AGR_000672,M,43,17,1,,2,3
AGR_000673,M,99,,,,2,2
AGR_000674,M,50,1,1,,1,
AGR_000675,M,59,1,1,,2,15
AGR_000676,M,17,21,1,,2,
AGR_000677,M,30,1,1,,2,4
AGR_000678,M,99,21,2,,1,3
AGR_000679,M,22,7,2,,2,
AGR_000680,M,26,1,1,,2,3
AGR_000681,M,20,3,2,,2,
AGR_000682,M,22,17,1,,2,
AGR_000683,F,0,25,2,8,2,4
AGR_000684,F,0,25,1,10,2,3
AGR_000685,M,35,25,2,2,2,
AGR_000686,F,30,3,2,,2,3
AGR_000687,M,22,2,2,,2,3
AGR_000688,F,45,10,1,,2,14
AGR_000689,F,30,21,1,,2,
AGR_000690,M,25,2,1,,2,
AGR_000691,M,30,17,2,,2,
AGR_000692,M,16,23,2,,2,2
AGR_000693,M,25,7,2,,2,15
AGR_000694,M,21,17,2,,2,4
AGR_000695,M,24,18,2,,2,
AGR_000696,M,28,7,2,,2,1
AGR_000697,M,50,1,1,,1,3
AGR_000698,F,10,18,2,,2,
AGR_000699,F,36,9,1,,2,3
